Id. RCE,NAF,Raison sociale,Enseigne,Tranche effectif (INSEE),Effectif ACOSS (ou recueilli),Adresse principale,Code postal,Commune acheminement postal
1056864,7010Z,BAUD INDUSTRIES,BAUD INDUSTRIES- HOLDING,6 A 9 SALARIES,6,144 ROUTE DES MARAIS,74250,FILLINGES
29615118,7010Z,AFK GAMERS BAR,,SANS SALARIE,0,52 RUE DE L UNIVERSITE,69007,LYON
29801998,7010Z,LA BANDE A ROBERT,,SANS SALARIE,0,QUARTIER LATOURRE,7260,VERNON
16154008,7010Z,NOURRISSON ALICE,ASPA,NON DEFINIE,2,RUE DE LA JALOUSIE,42130,MARCILLY LE CHATEL
25786561,7010Z,ASSEN CONSEIL,,1 OU 2 SALARIES,1,214 CHEMIN DE CHAMBERT,74600,QUINTAL
26573246,7010Z,LA MERE DENIS,,3 A 5 SALARIES,3,16 RUE DU FUMAS,38300,BOURGOIN JALLIEU
31528685,7010Z,LES OLIVIERS,,SANS SALARIE,0,4 RUE ROUGET DE LISLE,42000,ST ETIENNE
2815574,7010Z,DOMAINE DE BOULIEU,SARL DOMAINE DE BOULIEU,10 A 19 SALARIES,10,LE PONT,73540,ESSERTS BLAY
23670372,7010Z,SAS MDR,,3 A 5 SALARIES,3,FEY DESSUS,73260,LES AVANCHERS VALMOREL
23324170,7010Z,ALPES SERVICE INTERNATIONALE   ASI,ASI,SANS SALARIE,0,BON CONSEIL,73640,STE FOY TARENTAISE
18073726,7010Z,BELLE ETOILE DEVELOPPEMENT,,1 OU 2 SALARIES,1,13 CHEMIN DU COLIN,69370,ST DIDIER AU MONT D OR
27346118,7010Z,ATS,,SANS SALARIE,0,6 CHE DE LA TUILERIE SAINT,3210,SOUVIGNY
28073103,7010Z,MARAJO CONQUET,,SANS SALARIE,0,17 RUE CONQUET,42240,UNIEUX
28533569,7010Z,THEMAX,,SANS SALARIE,0,20 RUE PIERRE JULIEN,26200,MONTELIMAR
4379441,7010Z,ALYCE,ALYCESOFRECO,10 A 19 SALARIES,10,5 RUE DU LAC,69003,LYON
